"id","key","response","RT","correct"
"egh44","stim4",4,13552,1
"egh44","stim5",2,2412,0
"egh44","stim2",3,850,0
"egh44","stim1",5,886,0
"egh44","stim5",4,547,0
"egh44","stim4",2,414,0
"egh44","stim2",1,553,0
"egh44","stim2",3,518,0
"egh44","stim1",4,807,0
"egh44","stim4",3,669,0
"egh44","stim1",5,1514,0
"egh44","stim3",2,941,0
"egh44","stim4",1,867,0
"egh44","stim5",1,958,0
"egh44","stim1",4,881,0
"egh44","stim3",3,721,1
"egh44","stim5",2,662,0
"egh44","stim4",5,737,0
"egh44","stim2",4,1092,0
"egh44","stim3",3,879,1
"egh44","stim2",4,539,0
"egh44","stim1",2,1696,0
"egh44","stim3",1,941,0
"egh44","stim5",1,683,0
"egh44","stim3",3,510,1
"ssg47","stim1",1,8020,1
"ssg47","stim2",4,4059,0
"ssg47","stim3",4,830,0
"ssg47","stim2",4,804,0
"ssg47","stim5",5,610,1
"ssg47","stim2",2,2385,1
"ssg47","stim3",5,914,0
"ssg47","stim1",2,512,0
"ssg47","stim3",2,602,0
"ssg47","stim5",1,536,0
"ssg47","stim5",3,440,0
"ssg47","stim2",3,591,0
"ssg47","stim2",1,626,0
"ssg47","stim3",3,593,1
"ssg47","stim4",4,649,1
"ssg47","stim1",4,495,0
"ssg47","stim1",3,421,0
"ssg47","stim4",4,413,1
"ssg47","stim4",5,504,0
"ssg47","stim3",3,435,1
"ssg47","stim1",3,384,0
"ssg47","stim5",4,1754,0
"ssg47","stim4",5,822,0
"ssg47","stim4",2,441,0
"ssg47","stim5",2,417,0
"yq222","stim2",2,1972,1
"yq222","stim3",3,4279,1
"yq222","stim2",5,5586,0
"yq222","stim3",2,1791,0
"yq222","stim5",4,594,0
"yq222","stim1",3,1110,0
"yq222","stim1",1,1898,1
"yq222","stim2",1,592,0
"yq222","stim2",5,969,0
"yq222","stim1",4,777,0
"yq222","stim5",3,975,0
"yq222","stim3",2,781,0
"yq222","stim2",5,1373,0
"yq222","stim1",4,1099,0
"yq222","stim4",2,487,0
"yq222","stim4",2,1255,0
"yq222","stim3",3,675,1
"yq222","stim4",3,484,0
"yq222","stim5",1,267,0
"yq222","stim4",2,348,0
"yq222","stim5",5,348,1
"yq222","stim5",4,148,0
"yq222","stim1",5,590,0
"yq222","stim4",3,730,0
"yq222","stim3",2,248,0
"jhm77","stim3",2,6336,0
"jhm77","stim1",4,1957,0
"jhm77","stim2",5,1386,0
"jhm77","stim3",1,1412,0
"jhm77","stim4",3,1562,0
"jhm77","stim4",3,745,0
"jhm77","stim4",5,923,0
"jhm77","stim4",2,1006,0
"jhm77","stim4",4,1353,1
"jhm77","stim2",1,1324,0
"jhm77","stim5",2,852,0
"jhm77","stim1",3,1499,0
"jhm77","stim5",5,2395,1
"jhm77","stim5",4,1897,0
"jhm77","stim1",2,2952,0
"jhm77","stim3",3,614,1
"jhm77","stim5",4,1389,0
"jhm77","stim5",1,582,0
