"id","condition","stimulus","key","response","RT","correct"
"ssg47","Memorized","<h1>orange</h1>","y","n",4648,0
"ssg47","Memorized","<h1>berry</h1>","y","y",1085,1
"ssg47","Unrelated_Unmemorized","<h1>web</h1>","n","n",926,1
"ssg47","Unrelated_Unmemorized","<h1>England</h1>","n","n",838,1
"ssg47","Unrelated_Unmemorized","<h1>warm</h1>","n","n",791,1
"ssg47","Memorized","<h1>citrus</h1>","y","n",4039,0
"ssg47","Unrelated_Unmemorized","<h1>white</h1>","n","n",714,1
"ssg47","Related_Unmemorized","<h1>fruit</h1>","n","n",1285,1
"ssg47","Memorized","<h1>juice</h1>","y","y",816,1
"ssg47","Unrelated_Unmemorized","<h1>hill</h1>","n","n",788,1
"ssg47","Memorized","<h1>banana</h1>","y","y",810,1
"ssg47","Unrelated_Unmemorized","<h1>light</h1>","n","n",926,1
"ssg47","Unrelated_Unmemorized","<h1>queen</h1>","n","n",1069,1
"ssg47","Memorized","<h1>jam</h1>","y","n",4889,0
"ssg47","Related_Unmemorized","<h1>bread</h1>","n","y",2055,0
"ssg47","Unrelated_Unmemorized","<h1>hard</h1>","n","n",573,1
"ssg47","Memorized","<h1>toast</h1>","y","y",721,1
"ssg47","Memorized","<h1>butter</h1>","y","y",1044,1
"ssg47","Unrelated_Unmemorized","<h1>lethargic</h1>","n","n",540,1
"ssg47","Memorized","<h1>food</h1>","y","y",675,1
"ssg47","Unrelated_Unmemorized","<h1>mad</h1>","n","n",496,1
"ssg47","Memorized","<h1>flour</h1>","y","y",727,1
"ssg47","Unrelated_Unmemorized","<h1>legs</h1>","n","n",563,1
"ssg47","Unrelated_Unmemorized","<h1>hand</h1>","n","n",607,1
"ssg47","Unrelated_Unmemorized","<h1>fast</h1>","n","n",806,1
"ssg47","Unrelated_Unmemorized","<h1>cat</h1>","n","n",847,1
"ssg47","Memorized","<h1>house</h1>","y","n",2048,0
"ssg47","Memorized","<h1>door</h1>","y","y",2243,1
"ssg47","Memorized","<h1>shutter</h1>","y","y",607,1
"ssg47","Memorized","<h1>glass</h1>","y","y",608,1
"ssg47","Unrelated_Unmemorized","<h1>bumpy</h1>","n","n",605,1
"ssg47","Related_Unmemorized","<h1>window</h1>","n","y",1688,0
"ssg47","Unrelated_Unmemorized","<h1>snow</h1>","n","n",534,1
"ssg47","Memorized","<h1>screen</h1>","y","y",810,1
"ssg47","Unrelated_Unmemorized","<h1>boy</h1>","n","n",551,1
"ssg47","Unrelated_Unmemorized","<h1>piano</h1>","n","n",547,1
"ssg47","Unrelated_Unmemorized","<h1>sit</h1>","n","n",784,1
"ssg47","Related_Unmemorized","<h1>sweet</h1>","n","y",1269,0
"ssg47","Memorized","<h1>chocolate</h1>","y","y",769,1
"ssg47","Memorized","<h1>sugar</h1>","y","y",673,1
"ssg47","Memorized","<h1>cake</h1>","y","y",524,1
"ssg47","Unrelated_Unmemorized","<h1>show</h1>","n","n",576,1
"ssg47","Memorized","<h1>taste</h1>","y","y",646,1
"ssg47","Unrelated_Unmemorized","<h1>calm</h1>","n","n",538,1
"ssg47","Unrelated_Unmemorized","<h1>pin</h1>","n","n",469,1
"ssg47","Unrelated_Unmemorized","<h1>smooth</h1>","n","n",489,1
"ssg47","Unrelated_Unmemorized","<h1>climb</h1>","n","n",512,1
"ssg47","Memorized","<h1>honey</h1>","y","y",687,1
"ssg47","Memorized","<h1>up</h1>","y","y",727,1
"ssg47","Memorized","<h1>clouds</h1>","y","y",1426,1
"ssg47","Unrelated_Unmemorized","<h1>toe</h1>","n","n",577,1
"ssg47","Memorized","<h1>tower</h1>","y","y",708,1
