"id","condition","trials","yes_responses","prop_yes_resp"
"2002","Memorized",30,27,0.9
"2002","Related_Unmemorized",6,6,1
"2002","Unrelated_Unmemorized",36,0,0
"LMB","Memorized",30,22,0.73
"LMB","Related_Unmemorized",6,4,0.67
"LMB","Unrelated_Unmemorized",36,1,0.03
"egh44","Memorized",30,21,0.7
"egh44","Related_Unmemorized",6,1,0.17
"egh44","Unrelated_Unmemorized",36,0,0
"jh3487","Memorized",30,27,0.9
"jh3487","Related_Unmemorized",6,6,1
"jh3487","Unrelated_Unmemorized",36,0,0
"jhm77","Memorized",30,17,0.57
"jhm77","Related_Unmemorized",6,2,0.33
"jhm77","Unrelated_Unmemorized",36,0,0
"mam475","Memorized",30,24,0.8
"mam475","Related_Unmemorized",6,1,0.17
"mam475","Unrelated_Unmemorized",36,0,0
"seb235","Memorized",30,30,1
"seb235","Related_Unmemorized",6,6,1
"seb235","Unrelated_Unmemorized",36,0,0
"spp36","Memorized",30,22,0.73
"spp36","Related_Unmemorized",6,4,0.67
"spp36","Unrelated_Unmemorized",36,1,0.03
"ss3998","Memorized",30,23,0.77
"ss3998","Related_Unmemorized",6,5,0.83
"ss3998","Unrelated_Unmemorized",36,0,0
"ssg47","Memorized",30,25,0.83
"ssg47","Related_Unmemorized",6,4,0.67
"ssg47","Unrelated_Unmemorized",36,0,0
"wz343","Memorized",30,26,0.87
"wz343","Related_Unmemorized",6,1,0.17
"wz343","Unrelated_Unmemorized",36,0,0
"yl2456","Memorized",30,25,0.83
"yl2456","Related_Unmemorized",6,3,0.5
"yl2456","Unrelated_Unmemorized",36,0,0
"yq222","Memorized",30,26,0.87
"yq222","Related_Unmemorized",6,2,0.33
"yq222","Unrelated_Unmemorized",36,0,0
"zl543","Memorized",30,29,0.97
"zl543","Related_Unmemorized",6,2,0.33
"zl543","Unrelated_Unmemorized",36,0,0
"zl627","Memorized",30,25,0.83
"zl627","Related_Unmemorized",6,4,0.67
"zl627","Unrelated_Unmemorized",36,5,0.14
